Name,URL,License
hildon-input-method-framework,https://github.com/maemo-leste/hildon-input-method-framework,LGPL-2.1
hildon-input-method-plugins,https://github.com/maemo-leste/hildon-input-method-plugins,NOASSERTION
hildon-im-vkbrenderer3,https://github.com/maemo-leste/hildon-im-vkbrenderer3,NOASSERTION
libimlayouts,https://github.com/maemo-leste/libimlayouts,LGPL-2.1
libimengines,https://github.com/maemo-leste/libimengines,LGPL-2.1
hildon-connectivity-meta,https://github.com/maemo-leste/hildon-connectivity-meta,
ukeyboard,https://github.com/maemo-leste/ukeyboard,GPL-2.0
upower,https://github.com/maemo-leste/upower,NOASSERTION
hildon-input-method-configurator,https://github.com/maemo-leste/hildon-input-method-configurator,GPL-3.0
osso-product-info,https://github.com/maemo-leste/osso-product-info,
libscconf,https://github.com/maemo-leste/libscconf,LGPL-2.1
sysinfod,https://github.com/maemo-leste/sysinfod,GPL-3.0
osso-applet-textinput,https://github.com/maemo-leste/osso-applet-textinput,
hildon-input-meta,https://github.com/maemo-leste/hildon-input-meta,
ke-recv,https://github.com/maemo-leste/ke-recv,GPL-2.0
mafw,https://github.com/maemo-leste/mafw,LGPL-2.1
mafw-gst-renderer,https://github.com/maemo-leste/mafw-gst-renderer,LGPL-2.1
mafw-iradio-source,https://github.com/maemo-leste/mafw-iradio-source,LGPL-2.1
mafw-shared,https://github.com/maemo-leste/mafw-shared,NOASSERTION
mafw-test-gui,https://github.com/maemo-leste/mafw-test-gui,GPL-2.0
mafw-tracker-source,https://github.com/maemo-leste/mafw-tracker-source,LGPL-2.1
mafw-upnp-source,https://github.com/maemo-leste/mafw-upnp-source,LGPL-2.1
qtstyleplugins,https://github.com/maemo-leste/qtstyleplugins,
hildon-usb-gadgets,https://github.com/maemo-leste/hildon-usb-gadgets,
connui-cellular,https://github.com/maemo-leste/connui-cellular,GPL-2.0
lime2-linux,https://github.com/maemo-leste/lime2-linux,NOASSERTION
wifi-signal-applet,https://github.com/maemo-leste/wifi-signal-applet,GPL-2.0
qtmaemo5,https://github.com/maemo-leste/qtmaemo5,LGPL-2.1
hildon-application-manager,https://github.com/maemo-leste/hildon-application-manager,NOASSERTION
osso-calculator,https://github.com/maemo-leste/osso-calculator,GPL-3.0
osso-calculator-engine,https://github.com/maemo-leste/osso-calculator-engine,NOASSERTION
libcmtspeechdata,https://github.com/maemo-leste/libcmtspeechdata,LGPL-2.1
unicsy_demo,https://github.com/maemo-leste/unicsy_demo,GPL-3.0
osso-systemui-modechange,https://github.com/maemo-leste/osso-systemui-modechange,LGPL-2.1
anakin-linux,https://github.com/maemo-leste/anakin-linux,NOASSERTION
droid4-linux,https://github.com/maemo-leste/droid4-linux,NOASSERTION
ti-omap3-sgx,https://github.com/maemo-leste/ti-omap3-sgx,
xf86-video-pvrsgx,https://github.com/maemo-leste/xf86-video-pvrsgx,NOASSERTION
libicd-network-ofono,https://github.com/maemo-leste/libicd-network-ofono,LGPL-2.1
libofono,https://github.com/maemo-leste/libofono,NOASSERTION
libgofono,https://github.com/maemo-leste/libgofono,NOASSERTION
libglibutil,https://github.com/maemo-leste/libglibutil,
hildon-notify,https://github.com/maemo-leste/hildon-notify,LGPL-2.1
pymaemo-svn,https://github.com/maemo-leste/pymaemo-svn,
statusbar-alarm,https://github.com/maemo-leste/statusbar-alarm,GPL-3.0
applet-datetime,https://github.com/maemo-leste/applet-datetime,GPL-3.0
clock,https://github.com/maemo-leste/clock,GPL-3.0
ofono-d4,https://github.com/maemo-leste/ofono-d4,GPL-2.0
osso-games-startup,https://github.com/maemo-leste/osso-games-startup,
hildon-games-wrapper,https://github.com/maemo-leste/hildon-games-wrapper,
pygtk,https://github.com/maemo-leste/pygtk,LGPL-2.1
rtcom-eventlogger,https://github.com/maemo-leste/rtcom-eventlogger,LGPL-2.1
python-hildon,https://github.com/maemo-leste/python-hildon,LGPL-2.1
python-hildondesktop,https://github.com/maemo-leste/python-hildondesktop,LGPL-2.1
binaryclock-plugin,https://github.com/maemo-leste/binaryclock-plugin,
libsdl,https://github.com/maemo-leste/libsdl,LGPL-2.1
sdlgles,https://github.com/maemo-leste/sdlgles,LGPL-3.0
osso-abook,https://github.com/maemo-leste/osso-abook,GPL-3.0
simple-brightness-applet,https://github.com/maemo-leste/simple-brightness-applet,GPL-2.0
brainparty,https://github.com/maemo-leste/brainparty,GPL-3.0
scummvm,https://github.com/maemo-leste/scummvm,NOASSERTION
documents,https://github.com/maemo-leste/documents,
